"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Characteristics:Цвет;Weight;Length;Width;Height
601323043912;;3;;Картины;"Бегония Мокка Голд";40х80;"<a href=""https://nolim.cc/my-button-net-v-nalichii?utm_source=youtube&amp;utm_medium=social&amp;utm_content=my-button-net-v-nalichii"" target=""_blank"" rel=""noreferrer noopener"">Конструктор в интерьерах </a>";https://static.tildacdn.com/stor3363-3934-4236-a331-643331616133/e89573b5e354546258330f7d12d030b6.webp;0;1;;;;DOCfsvRCbhjE3gPgo0jc;;Бежевый;0;0;0;0
782957961992;;9;;Картины;"Новые фрески альтамира";60х30;Очень;https://static.tildacdn.com/stor3033-3463-4666-b734-396165353736/463c467be3e5a44895a52dbd2029ee26.webp;0;0;;;;I3ySGDosOtxv5CkfTZiX;;"Оранжевый;Белый";0;0;0;0
487414354702;;10;;Картины;"Танец белого мотылька";40х50;Очень;https://static.tildacdn.com/stor6462-3361-4062-b033-313339623133/19c0ceb4855e245049487830a473d676.webp;0;1;;;;8NTFO7PUeSzmv9Tfl7cd;;"Бежевый;Синий";0;0;0;0
302678199962;;12;;Картины;"Червонец фиолетовый";40х40;Очень;https://static.tildacdn.com/stor3530-6562-4330-b435-336135356364/915fdc3ff0d66d4fd4581d49d47c975c.jpg;0;1;;;;XDerMevNYP8shm6KxizA;;Фиолетовый;0;0;0;0
790601565522;;13;;Картины;"Огни ночного города";20х20;Очень;https://static.tildacdn.com/stor3663-3738-4437-a432-323235333136/d98e717bbd899cf35c76f700f8769d3b.webp;2000.00;1;;;;UBxkyEaphHi5I7HiuoFM;;Красный;0;0;0;0
934640369652;;14;;Картины;"Cueva del polvo";30х30;Очень;https://static.tildacdn.com/stor6534-3366-4433-b035-376337626635/50edba7beaeb29299ca9d6f083e2b7db.webp;0;1;;;;6AKUbUNj5P1lrBS1rDv9;;Красный;0;0;0;0
874441114192;;29;;Картины;"Magma de Los Gigantes";19x33;Очень;https://static.tildacdn.com/stor6434-3062-4335-b864-346236336238/2878e7ec5851742fa18f77a1194c8f92.webp;0;0;;;;meDDndgZXNRglTuCGD4i;;Оранжевый;0;0;0;0
675452019942;;39;;Картины;"Черный сапфир";40х40;Очень;https://static.tildacdn.com/stor6533-3533-4163-b861-313830623333/040f1f768c5938f191db54942b8e9e31.webp;150000.00;1;;;;AZydENcgU3j4ipL8V8yy;;Черный;0;0;0;0
164970164142;;46;;Картины;"Птицы. Очень гадкий утёнок";А4;Очень;https://static.tildacdn.com/stor3166-3737-4939-b364-373963346461/505084edad43c31799f66c7066c2c0df.webp;2000.00;1;;;;SVjFXt2rUZmJbCF3UYlL;;"Черный;Красный";0;0;0;0
536293101552;;50;;Картины;GUINOT;40х50;Очень;https://static.tildacdn.com/stor6330-3364-4962-b437-613730643736/e312a143e2a7b1e441a545a7c226acb6.webp;2000.00;1;;;;1h7rnzZalRiY6bmdXJCY;;Оранжевый;0;0;0;0
748738711032;;51;;Картины;"Noctiluca. Цветение";А4;Очень;https://static.tildacdn.com/stor6462-3138-4265-b165-396539326661/d9bbe65cc2c7290c91162c4b404fd575.webp;2000.00;1;;;;921IZuRkhv3Y67Uu5B8C;;Красный;0;0;0;0
969962634102;;52;;Картины;Цунами;70х70;Очень;https://static.tildacdn.com/stor3936-6337-4836-a363-356337306632/9df908fbe0275e47bb5af88b1cc7ceaa.webp;2000.00;1;;;;bnu3m5cSoihOYxV10JGV;;Розовый;0;0;0;0
136885775102;;53;;Картины;"Гусь и стрекоза";А4;Очень;https://static.tildacdn.com/stor3438-6337-4832-a565-306264373330/dc23a8663673d40c8b312ef30f591cdb.webp;2000.00;1;;;;KkedbykLoDGaDt0rVCcY;;"Оранжевый;Голубой";0;0;0;0
716387297912;;54;;Картины;"Маршалловы острова";30х30;Очень;https://static.tildacdn.com/stor3865-3562-4165-a333-616334656237/4788257d7f6ac1f67a2d7d5b45642fab.webp;2000.00;1;;;;JzOVh8XnPBXP2r0mLjxn;;"Розовый;Голубой";0;0;0;0
463688009102;;55;;Картины;Прометей;30х30;Очень;https://static.tildacdn.com/stor6563-6262-4333-a265-396162353738/8e85fb464116070f7573cb5339de0877.webp;2000.00;1;;;;07HVob4sElrGOka3FxuJ;;Красный;0;0;0;0
226101681172;;56;;Картины;Сфинкс;30х30;Очень;https://static.tildacdn.com/stor3565-6233-4735-a662-633336356366/78843388b4a82e35a56629533d8af0d3.webp;2500.00;1;;;;tLJuaFPA0gm989bj9ZNc;;Синий;0;0;0;0
660654252772;;57;;Картины;"Розовый ламантин";30х30;Очень;https://static.tildacdn.com/stor6133-3364-4566-a462-393263646334/a1d07d71ca7c520fc0eea9b5001784ee.jpg;2500.00;1;;;;VEkr8u9lrz47oTOTb2z3;;"Розовый;Желтый";0;0;0;0
107137556422;;58;;Картины;"Крестная мать";40х40;Очень;https://static.tildacdn.com/stor6434-3262-4435-a131-663465376266/5a1cd5a12b3acc7a0b3a8444ea5eca55.webp;2500.00;1;;;;pkgVsUbk6tDPB0L1RgDl;;"Синий;Белый";0;0;0;0
698351856612;;59;;Картины;"Птицы. Что за глупый птенец...";А4;Очень;https://static.tildacdn.com/stor6663-3433-4336-b937-656161613261/fe938b059810385797b5ac84e02298c3.webp;2500.00;1;;;;iS9OdrLdFSKeZxlUetIe;;"Синий;Желтый";0;0;0;0
517231302222;;60;;Картины;"Ледяной дракон";А4;Очень;https://static.tildacdn.com/stor3135-3833-4565-b461-306464616135/2281a3b8a2ab660fa3945cf076ad6a7b.webp;2500.00;1;;;;jsN1U3DZ32LXgKniDK2X;;"Синий;Желтый";0;0;0;0
785652616512;;61;;Картины;Гелий;40х40;Очень;https://static.tildacdn.com/stor3631-3661-4139-b130-316634633631/8713637bfdc16fe6e63a56e47541f352.webp;2500.00;1;;;;POPkXmmHc8vYgyiZTinN;;Коричневый;0;0;0;0
409523260252;;63;;Картины;"Слизень Гоша наслаждается осенью 2014 года";30х30;Очень;https://static.tildacdn.com/stor3634-3031-4263-b363-353266313965/089e015c6ef60b5387fc5ab1a5ae9b23.webp;2500.00;1;;;;bIM0yFOPPTk4uJZZoGVN;;Коричневый;0;0;0;0
807279393032;;64;;Картины;"Синий подосиновик";50х70;Очень;https://static.tildacdn.com/stor3737-6533-4964-b235-633063353730/950128ec194f1c1dabed82972de82814.webp;2500.00;1;;;;HnasTBsIiE1rD30elt5G;;"Зеленый;Голубой";0;0;0;0
976147459452;;65;;Картины;"Малые Канарские острова. Ла Гомера";40х60;Очень;https://static.tildacdn.com/stor3538-3633-4261-a234-343134383232/48bb99b3336f1c5ea8a679048656f2fa.webp;2500.00;1;;;;ODTumJmabK69UHIhVkYy;;"Желтый;Белый";0;0;0;0
252306717452;;66;;Картины;"Малые Канарские острова. Ла Пальма";40х60;Очень;https://static.tildacdn.com/stor3262-6537-4564-b265-396438643030/f077565758954b8cfa3968ba9c42176a.webp;2500.00;1;;;;Oo7TLEdsxtCMhKzpBoUz;;"Оранжевый;Красный";0;0;0;0
652753217132;;67;;Картины;"Малые Канарские острова. Эль Йерро";40х60;Очень;https://static.tildacdn.com/stor6633-6331-4632-b333-316435346238/93300d76764f82cc5db4571ab479b442.webp;2500.00;1;;;;dOsuR0xEdLsZhlJVS1xP;;"Желтый;Фиолетовый";0;0;0;0
596763912912;;68;;Картины;"Из жизни рыб";40х40;Очень;https://static.tildacdn.com/stor3732-6161-4663-b438-396564643665/c48427de6db2628c649826a8438b05e5.webp;2500.00;1;;;;UL9ByOoL29mTJGM5mzYn;;"Красный;Зеленый";0;0;0;0
318698081592;;69;;Картины;"Мангуст Джеф любуется штормом на острове Мэн";50х70;Очень;https://static.tildacdn.com/stor6334-6466-4533-a633-363135613366/0f70eec3def01dca50a57962dc62b6c2.webp;2500.00;1;;;;3LEsZ7bEkNcfpJmglMAX;;Фиолетовый;0;0;0;0
